COD_S11,GENDER,EDU_FATHER,EDU_MOTHER,OCC_FATHER,OCC_MOTHER,STRATUM,SISBEN,PEOPLE_HOUSE,,INTERNET,TV,COMPUTER,WASHING_MCH,MIC_OVEN,CAR,DVD,FRESH,PHONE,MOBILE,REVENUE,JOB,SCHOOL_NAME,SCHOOL_NAT,SCHOOL_TYPE,MAT_S11,CR_S11,CC_S11,BIO_S11,ENG_S11,Cod_SPro,UNIVERSITY,ACADEMIC_PROGRAM,QR_PRO,CR_PRO,CC_PRO,ENG_PRO,WC_PRO,FEP_PRO,G_SC,PERCENTILE,2ND_DECILE,QUARTILE,SEL,SEL_IHE
SB11201210000129,F,Incomplete Professional Education,Complete technique or technology,Technical or professional level employee,Home,Stratum 4,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,COL NUEVO CAMBRIDGE,PRIVATE,ACADEMIC,71,81,61,86,82,EK201830142293,UNIVERSIDAD DE SANTANDER - UDES-BUCARAMANGA,INDUSTRIAL ENGINEERING,71,93,71,93,79,181,180,91,5,4,2,2
SB11201210000137,F,Complete Secundary,Complete professional education,Entrepreneur ,Independent professional,Stratum 5,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,COL LA QUINTA DEL PUENTE,PRIVATE,ACADEMIC,83,75,66,100,88,EK201830002633,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INDUSTRIAL ENGINEERING,97,38,86,98,78,201,182,92,5,4,4,4
SB11201210005154,M,Not sure,Not sure,Independent,Home,Stratum 2,Level 2,Five,,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,"Yes, 20 hours or more per week",CENT EDUC PAULO FREIRE                                                                              ,PRIVATE,ACADEMIC,52,49,38,46,42,EK201830196510,UNIVERSIDAD NACIONAL ABIERTA Y A DISTANCIA UNAD-BOGOTÁ D.C.,ELECTRONIC ENGINEERING,17,1,18,43,22,113,113,7,1,1,1,1
SB11201210007504,F,Not sure,Not sure,Other occupation,Independent,Stratum 2,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,LICEO ANDINO,PRIVATE,ACADEMIC,56,55,51,64,73,EK201830031665,UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA,INDUSTRIAL ENGINEERING,65,35,76,80,48,137,157,67,4,3,2,2
SB11201210007548,M,Complete professional education,Complete professional education,Executive,Home,Stratum 4,It is not classified by the SISBEN,One,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,LIC TALLER SAN MIGUEL,PRIVATE,ACADEMIC,80,65,76,85,92,EK201830130461,UNIVERSIDAD INDUSTRIAL DE SANTANDER-BUCARAMANGA,INDUSTRIAL ENGINEERING,94,94,98,100,71,189,198,98,5,4,4,2
SB11201210007568,F,Complete professional education,Complete professional education,Independent,Executive,Stratum 6,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,LIC TALLER SAN MIGUEL,PRIVATE,ACADEMIC,71,60,57,61,82,EK201830031817,UNIVERSIDAD CATOLICA DE PEREIRA-PEREIRA,INDUSTRIAL ENGINEERING,86,15,32,97,36,170,154,63,4,3,4,2
SB11201210007598,M,Complete professional education,Complete professional education,Small entrepreneur ,Executive,Stratum 5,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,COL FUNDACION LIC INGLES,PRIVATE,ACADEMIC,71,75,61,75,85,EK201830108919,UNIVERSIDAD TECNOLOGICA DE PEREIRA - ITP-PEREIRA,INDUSTRIAL ENGINEERING,68,8,50,92,53,187,152,59,3,3,2,2
SB11201210007615,F,Incomplete Secundary,Complete Secundary,Entrepreneur ,Independent professional,Stratum 6,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,10 or more LMMW,No,COL FUNDACION LIC INGLES,PRIVATE,ACADEMIC,74,67,61,85,96,EK201830002476,UNIVERSIDAD DE LOS ANDES-BOGOTÁ D.C.,INDUSTRIAL ENGINEERING,97,86,94,97,98,188,200,99,5,4,4,4
SB11201210010208,M,Complete Secundary,Complete professional education,Independent,Operator,Stratum 2,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,COL DE BTO. TECNICO EN COMERCIO Y SISTEMAS HEISENBERG,PRIVATE,TECHNICAL,44,54,61,44,46,EK201830217505,UNIVERSIDAD ANTONIO NARIÑO-BOGOTÁ D.C.,INDUSTRIAL ENGINEERING,51,57,43,3,19,177,133,28,2,2,3,2
SB11201210013577,M,Incomplete technical or technological,Incomplete technical or technological,Independent,Home,Stratum 2,Level 2,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,"Yes, 20 hours or more per week",INSTITUTO DE EXCELENCIA HUMANA Y ACADÉMICA   IDEA,PRIVATE,ACADEMIC,52,55,51,55,65,EK201830126005,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C.,INDUSTRIAL ENGINEERING,13,41,22,83,1,112,126,18,1,1,4,2
SB11201210015404,F,Not sure,Not sure,Other occupation,Independent professional,Stratum 3,It is not classified by the SISBEN,Five,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,COLEGIO BURECHE,PRIVATE,ACADEMIC,74,71,61,78,96,EK201830064818,UNIVERSIDAD DEL NORTE-BARRANQUILLA,INDUSTRIAL ENGINEERING,96,83,93,100,98,187,200,99,5,4,2,4
SB11201210016082,M,Complete technique or technology,Complete Secundary,Technical or professional level employee,Entrepreneur ,Stratum 2,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,"Yes, 20 hours or more per week",LICEO CRISTIANO LOS ANDES,PRIVATE,ACADEMIC,54,47,49,45,43,EK201830038146,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C.,CIVIL ENGINEERING,64,19,79,10,5,141,133,29,2,2,2,2
SB11201210017060,F,Not sure,Incomplete technical or technological,Small entrepreneur ,Home,Stratum 3,It is not classified by the SISBEN,Five,,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Between 2 and less than 3 LMMW,No,LICEO REPUBLICA DE COLOMBIA,PRIVATE,ACADEMIC,56,62,61,61,50,EK201830065065,UNIVERSIDAD COOPERATIVA DE COLOMBIA-BOGOTÁ D.C.,CIVIL ENGINEERING,41,45,74,56,37,119,148,53,3,3,2,2
SB11201210019041,M,Complete professional education,Complete professional education,Entrepreneur ,Small entrepreneur ,Stratum 6,It is not classified by the SISBEN,Six,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,10 or more LMMW,No,COLEGIO GIMNASIO VERMONT,PRIVATE,ACADEMIC,76,71,64,75,82,EK201830021307,UNIVERSIDAD EAFIT--MEDELLIN,CIVIL ENGINEERING,99,82,80,97,83,180,191,96,5,4,4,4
SB11201210023458,F,Incomplete primary ,Incomplete primary ,Small entrepreneur ,Executive,Stratum 1,Level 1,Two,,No,No,No,No,No,No,No,No,Yes,No,less than 1 LMMW,"Yes, 20 hours or more per week",INSTITUTO REGIONAL COREDI,PRIVATE,ACADEMIC,56,45,59,51,44,EK201830235907,POLITECNICO GRANCOLOMBIANO-BOGOTÁ D.C.,INDUSTRIAL ENGINEERING,46,61,81,36,76,137,157,67,4,3,1,2
SB11201210024129,F,Complete technique or technology,Not sure,Technical or professional level employee,Technical or professional level employee,Stratum 3,It is not classified by the SISBEN,Two,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COLEGIO DEL SAGRADO CORAZON DE JESUS,PRIVATE,ACADEMIC,62,58,59,55,59,EK201830044344,INSTITUCION UNIVERSITARIA CENTRO DE ESTUDIOS SUPERIORES MARIA GORETTI-PASTO,ELECTRONIC ENGINEERING,89,64,77,74,30,172,164,76,4,4,4,2
SB11201210024212,M,Complete professional education,Complete professional education,Small entrepreneur ,Executive,Stratum 3,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,COL SAN FRANCISCO JAVIER,PRIVATE,ACADEMIC,74,67,72,78,68,EK201830018471,UNIVERSIDAD DE NARIÑO-PASTO,ELECTRONIC ENGINEERING,83,69,72,89,8,145,162,73,4,3,4,1
SB11201210024226,M,Complete professional education,Complete professional education,Independent professional,Independent professional,Stratum 3,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 7 and less than 10 LMMW,No,COL SAN FRANCISCO JAVIER,PRIVATE,ACADEMIC,74,64,61,72,88,EK201830016227,UNIVERSIDAD DE NARIÑO-PASTO,ELECTRONIC ENGINEERING,85,76,100,94,75,164,188,95,5,4,4,1
SB11201210024293,M,Complete technique or technology,Complete Secundary,Operator,Independent,Stratum 2,Level 2,Four,,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,Between 1 and less than 2 LMMW,"Yes, less than 20 hours per week",INST JORGE ELIECER GAITAN,PRIVATE,ACADEMIC,44,49,45,44,44,EK201830120508,CORPORACION UNIVERSITARIA AUTONOMA DE NARIÑO -AUNAR-PASTO,MECHANICAL ENGINEERING,52,8,12,19,65,120,129,22,2,1,2,1
SB11201210024453,M,Complete professional education,Complete professional education,Technical or professional level employee,Technical or professional level employee,Stratum 3,Esta clasificada en otro Level del SISBEN,Three,,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Between 3 and less than 5 LMMW,No,INST SAN FRANCISCO DE ASIS,PRIVATE,ACADEMIC,61,44,53,41,53,EK201830003947,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES,ELECTRONIC ENGINEERING,95,86,52,74,59,135,170,82,5,4,2,2
SB11201210024457,M,Complete professional education,Complete professional education,Independent professional,Executive,Stratum 3,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 1 and less than 2 LMMW,No,COL COMFAMILIAR DE NARIÑO SIGLO XXI,PRIVATE,TECHNICAL/ACADEMIC,58,53,51,48,58,EK201830033909,UNIVERSIDAD MARIANA-PASTO,CIVIL ENGINEERING,99,64,54,89,38,90,170,83,5,4,4,2
SB11201210024464,M,Incomplete primary ,Incomplete Secundary,Independent,Home,Stratum 2,It is not classified by the SISBEN,Four,,Yes,No,Yes,No,No,No,No,No,Yes,Yes,less than 1 LMMW,No,COL COMFAMILIAR DE NARIÑO SIGLO XXI,PRIVATE,TECHNICAL/ACADEMIC,60,47,56,56,57,EK201830003931,UNIVERSIDAD NACIONAL DE COLOMBIA-MANIZALES,ELECTRONIC ENGINEERING,40,39,49,60,44,168,144,46,3,2,1,2
SB11201210033482,M,Complete primary ,Incomplete primary ,Independent,Home,Stratum 4,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,CORPORACION COLEGIO AMERICAS UNIDAS,PRIVATE,ACADEMIC,53,47,36,36,64,EK201830133621,UNIVERSIDAD AUTONOMA DE OCCIDENTE-CALI,INDUSTRIAL ENGINEERING,59,25,37,65,14,126,138,37,2,2,2,3
SB11201210034473,M,Incomplete primary ,Incomplete primary ,0,0,Stratum 2,It is not classified by the SISBEN,Five,,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COLEGIO LEON DE GREIFF,PRIVATE,TECHNICAL/ACADEMIC,67,65,50,72,82,EK201830192453,PONTIFICIA UNIVERSIDAD JAVERIANA-CALI,CIVIL ENGINEERING,94,81,22,88,44,174,164,76,4,4,4,2
SB11201210034479,M,Complete professional education,Incomplete Professional Education,Executive,Operator,Stratum 3,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COLEGIO LEON DE GREIFF,PRIVATE,TECHNICAL/ACADEMIC,80,71,68,66,75,EK201830053028,UNIVERSIDAD DEL VALLE-CALI,INDUSTRIAL ENGINEERING,96,99,93,92,74,179,194,97,5,4,1,2
SB11201210034510,M,Complete technique or technology,Complete technique or technology,Executive,Home,Stratum 3,It is not classified by the SISBEN,Three,,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Between 2 and less than 3 LMMW,No,COLEGIO LEON DE GREIFF,PRIVATE,TECHNICAL/ACADEMIC,83,75,65,100,71,EK201830008559,UNIVERSIDAD NACIONAL DE COLOMBIA-BOGOTÁ D.C.,ELECTRONIC ENGINEERING,100,92,91,97,91,78,201,99,5,4,2,2
SB11201210034773,M,Complete professional education,Complete technique or technology,Technical or professional level employee,Technical or professional level employee,Stratum 3,It is not classified by the SISBEN,Four,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Between 3 and less than 5 LMMW,No,COLEGIO AMERICANO,PRIVATE,ACADEMIC,69,56,49,63,70,EK201830107507,UNIVERSIDAD DEL VALLE-CALI,INDUSTRIAL ENGINEERING,74,28,15,84,89,108,155,64,4,3,3,2
