Id,LotFrontage,LotArea,HouseStyle,OverallQual,OverallCond,YearBuilt,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,FullBath,TotalRooms,GarageCars,GarageArea,YrSold,SalePrice
1,65.0,8450.0,2Story,7,5,2003,856,Y,856,854,2,8,2,548,2008,208500
2,80.0,9600.0,1Story,6,8,1976,,Y,1262,0,2,6,2,460,2007,181500
3,68.0,11250.0,2Story,7,5,2001,920,Y,920,866,2,6,2,608,2008,223500
4,60.0,9550.0,2Story,7,5,1915,,Y,961,756,1,7,3,642,2006,140000
5,84.0,14260.0,2Story,8,5,2000,1145,Y,1145,1053,2,9,3,836,2008,250000
6,85.0,14115.0,1.5Fin,5,5,1993,,Y,796,566,1,5,2,480,2009,143000
7,75.0,10084.0,1Story,8,5,2004,1686,Y,1694,0,2,7,2,636,2007,307000
8,,10382.0,2Story,7,6,1973,1107,Y,1107,983,2,7,2,484,2009,200000
9,51.0,6120.0,1.5Fin,7,5,1931,952,Y,1022,752,2,8,2,468,2008,129900
10,50.0,,1.5Unf,5,6,1939,,Y,1077,0,1,5,1,205,2008,118000
11,70.0,11200.0,1Story,5,5,1965,,Y,1040,0,1,5,1,384,2008,129500
12,85.0,11924.0,2Story,9,5,2005,1175,Y,1182,1142,3,11,3,736,2006,345000
13,,12968.0,1Story,5,6,1962,,Y,912,0,1,4,1,352,2008,144000
14,91.0,10652.0,1Story,7,5,2006,,Y,1494,0,2,7,3,840,2007,279500
15,,10920.0,1Story,6,5,1960,,Y,1253,0,1,5,1,352,2008,157000
16,51.0,6120.0,1.5Unf,7,8,1929,832,Y,854,0,1,5,2,576,2007,132000
17,,11241.0,1Story,6,7,1970,,Y,1004,0,1,5,2,480,2010,149000
18,72.0,10791.0,1Story,4,5,1967,0,Y,1296,0,2,6,2,516,2006,90000
19,66.0,13695.0,1Story,5,5,2004,1114,Y,1114,0,1,6,2,576,2008,159000
20,70.0,7560.0,1Story,5,6,1958,1029,Y,1339,0,1,6,1,294,2009,139000
21,101.0,14215.0,2Story,8,5,2005,1158,Y,1158,1218,3,9,3,853,2006,325300
22,57.0,7449.0,1.5Unf,7,7,1930,637,Y,1108,0,1,6,1,280,2007,139400
23,75.0,9742.0,1Story,8,5,2002,1777,Y,1795,0,2,7,2,534,2008,230000
24,44.0,4224.0,1Story,5,7,1976,1040,Y,1060,0,1,6,2,572,2007,129900
25,,8246.0,1Story,5,8,1968,1060,Y,1060,0,1,6,1,270,2010,154000
26,110.0,14230.0,1Story,8,5,2007,,Y,1600,0,2,7,3,890,2009,256300
27,60.0,,1Story,5,7,1951,900,Y,900,0,1,5,2,576,2010,134800
28,98.0,,1Story,8,5,2007,,Y,1704,0,2,7,3,772,2010,306000
29,47.0,16321.0,1Story,5,6,1957,,Y,1600,0,1,6,1,319,2006,207500
30,60.0,6324.0,1Story,4,6,1927,520,N,520,0,1,4,1,240,2008,68500
31,50.0,8500.0,2Story,4,4,1920,649,N,649,668,1,6,1,250,2008,40000
32,,8544.0,1Story,5,6,1966,,Y,1228,0,1,6,1,271,2008,149350
33,85.0,11049.0,1Story,8,5,2007,,Y,1234,0,2,7,2,484,2008,179900
34,70.0,10552.0,1Story,5,5,1959,1398,Y,1700,0,1,6,2,447,2010,165500
35,60.0,7313.0,1Story,9,5,2005,,Y,1561,0,2,6,2,556,2007,277500
36,108.0,13418.0,2Story,8,5,2004,1117,Y,1132,1320,3,9,3,691,2006,309000
37,112.0,,1Story,5,5,1994,,Y,1097,0,1,6,2,672,2009,145000
38,74.0,8532.0,1Story,5,6,1954,1297,Y,1297,0,1,5,2,498,2009,153000
39,68.0,7922.0,1Story,5,7,1953,1057,Y,1057,0,1,5,1,246,2010,109000
40,65.0,6040.0,1Story,4,5,1955,0,N,1152,0,2,6,0,0,2008,82000
41,84.0,8658.0,1Story,6,5,1965,,Y,1324,0,2,6,2,440,2006,160000
42,115.0,16905.0,1Story,5,6,1959,1350,Y,1328,0,1,5,1,308,2007,170000
43,,9180.0,SFoyer,5,7,1983,,Y,884,0,1,5,2,504,2007,144000
44,,9200.0,1Story,5,6,1975,,Y,938,0,1,5,1,308,2008,130250
45,70.0,7945.0,1Story,5,6,1959,1150,Y,1150,0,1,6,1,300,2006,141000
46,61.0,7658.0,1Story,9,5,2005,1752,Y,1752,0,2,6,2,576,2010,319900
47,48.0,,1.5Fin,7,5,2003,1434,Y,1518,631,1,6,2,670,2009,239686
48,84.0,11096.0,1Story,8,5,2006,1656,Y,1656,0,2,7,3,826,2007,249700
49,33.0,4456.0,2Story,4,5,1920,736,Y,736,716,2,8,0,0,2009,113000
50,66.0,7742.0,1Story,5,7,1966,,Y,955,0,1,6,1,386,2007,127000
51,,13869.0,2Story,6,6,1997,,Y,794,676,2,6,2,388,2007,177000
