gender,race/ethnicity,parental level of education,lunch,math score,reading score,writing score,total score,test preparation course,admission prospect
female,group B,bachelor's degree,standard,72,72,74,218,none,medium
female,group C,some college,standard,69,90,88,247,completed,high
female,group B,master's degree,standard,90,95,93,278,none,high
male,group A,associate's degree,free/reduced,47,57,44,148,none,low
male,group C,some college,standard,76,78,75,229,none,high
female,group B,associate's degree,standard,71,83,78,232,none,high
female,group B,some college,standard,88,95,92,275,completed,high
male,group B,some college,free/reduced,40,43,39,122,none,low
male,group D,high school,free/reduced,64,64,67,195,completed,medium
female,group B,high school,free/reduced,38,60,50,148,none,low
male,group C,associate's degree,standard,58,54,52,164,none,medium
male,group D,associate's degree,standard,40,52,43,135,none,low
female,group B,high school,standard,65,81,73,219,none,medium
male,group A,some college,standard,78,72,70,220,completed,medium
female,group A,master's degree,standard,50,53,58,161,none,medium
female,group C,some high school,standard,69,75,78,222,none,high
male,group C,high school,standard,88,89,86,263,none,high
female,group B,some high school,free/reduced,18,32,28,78,none,low
male,group C,master's degree,free/reduced,46,42,46,134,completed,low
female,group C,associate's degree,free/reduced,54,58,61,173,none,medium
male,group D,high school,standard,66,69,63,198,none,medium
female,group B,some college,free/reduced,65,75,70,210,completed,medium
male,group D,some college,standard,44,54,53,151,none,low
female,group C,some high school,standard,69,73,73,215,none,medium
male,group D,bachelor's degree,free/reduced,74,71,80,225,completed,high
male,group A,master's degree,free/reduced,73,74,72,219,none,medium
male,group B,some college,standard,69,54,55,178,none,medium
female,group C,bachelor's degree,standard,67,69,75,211,none,medium
male,group C,high school,standard,70,70,65,205,none,medium
female,group D,master's degree,standard,62,70,75,207,none,medium
female,group D,some college,standard,69,74,74,217,none,medium
female,group B,some college,standard,63,65,61,189,none,medium
female,group E,master's degree,free/reduced,56,72,65,193,none,medium
male,group D,some college,standard,40,42,38,120,none,low
male,group E,some college,standard,97,87,82,266,none,high
male,group E,associate's degree,standard,81,81,79,241,completed,high
female,group D,associate's degree,standard,74,81,83,238,none,high
female,group D,some high school,free/reduced,50,64,59,173,none,medium
female,group D,associate's degree,free/reduced,75,90,88,253,completed,high
male,group B,associate's degree,free/reduced,57,56,57,170,none,medium
male,group C,associate's degree,free/reduced,55,61,54,170,none,medium
female,group C,associate's degree,standard,58,73,68,199,none,medium
female,group B,associate's degree,standard,53,58,65,176,none,medium
male,group B,some college,free/reduced,59,65,66,190,completed,medium
female,group E,associate's degree,free/reduced,50,56,54,160,none,low
male,group B,associate's degree,standard,65,54,57,176,none,medium
female,group A,associate's degree,standard,55,65,62,182,completed,medium
female,group C,high school,standard,66,71,76,213,none,medium
female,group D,associate's degree,free/reduced,57,74,76,207,completed,medium
male,group C,high school,standard,82,84,82,248,completed,high
male,group E,some college,standard,53,55,48,156,none,low
male,group E,associate's degree,free/reduced,77,69,68,214,completed,medium
male,group C,some college,standard,53,44,42,139,none,low
male,group D,high school,standard,88,78,75,241,none,high
female,group C,some high school,free/reduced,71,84,87,242,completed,high
female,group C,high school,free/reduced,33,41,43,117,none,low
female,group E,associate's degree,standard,82,85,86,253,completed,high
male,group D,associate's degree,standard,52,55,49,156,none,low
male,group D,some college,standard,58,59,58,175,completed,medium
female,group C,some high school,free/reduced,0,17,10,27,none,low
male,group E,bachelor's degree,free/reduced,79,74,72,225,completed,high
male,group A,some high school,free/reduced,39,39,34,112,none,low
male,group A,associate's degree,free/reduced,62,61,55,178,none,medium
female,group C,associate's degree,standard,69,80,71,220,none,medium
female,group D,some high school,standard,59,58,59,176,none,medium
male,group B,some high school,standard,67,64,61,192,none,medium
male,group D,some high school,free/reduced,45,37,37,119,none,low
female,group C,some college,standard,60,72,74,206,none,medium
male,group B,associate's degree,free/reduced,61,58,56,175,none,medium
female,group C,associate's degree,standard,39,64,57,160,none,low
female,group D,some college,free/reduced,58,63,73,194,completed,medium
male,group D,some college,standard,63,55,63,181,completed,medium
female,group A,associate's degree,free/reduced,41,51,48,140,none,low
male,group C,some high school,free/reduced,61,57,56,174,none,medium
male,group C,some high school,standard,49,49,41,139,none,low
male,group B,associate's degree,free/reduced,44,41,38,123,none,low
male,group E,some high school,standard,30,26,22,78,none,low
male,group A,bachelor's degree,standard,80,78,81,239,completed,high
female,group D,some high school,standard,61,74,72,207,completed,medium
female,group E,master's degree,standard,62,68,68,198,none,medium
female,group B,associate's degree,standard,47,49,50,146,none,low
male,group B,high school,free/reduced,49,45,45,139,none,low
male,group A,some college,free/reduced,50,47,54,151,completed,low
male,group E,associate's degree,standard,72,64,63,199,none,medium
male,group D,high school,free/reduced,42,39,34,115,none,low
female,group C,some college,standard,73,80,82,235,none,high
female,group C,some college,free/reduced,76,83,88,247,none,high
female,group D,associate's degree,standard,71,71,74,216,none,medium
female,group A,some college,standard,58,70,67,195,none,medium
female,group D,some high school,standard,73,86,82,241,none,high
female,group C,bachelor's degree,standard,65,72,74,211,none,medium
male,group C,high school,free/reduced,27,34,36,97,none,low
male,group C,high school,standard,71,79,71,221,none,high
male,group C,associate's degree,free/reduced,43,45,50,138,completed,low
female,group B,some college,standard,79,86,92,257,none,high
male,group C,associate's degree,free/reduced,78,81,82,241,completed,high
male,group B,some high school,standard,65,66,62,193,completed,medium
female,group E,some college,standard,63,72,70,205,completed,medium
female,group D,some college,free/reduced,58,67,62,187,none,medium
female,group D,bachelor's degree,standard,65,67,62,194,none,medium
male,group B,some college,standard,79,67,67,213,none,medium
male,group D,bachelor's degree,standard,68,74,74,216,completed,medium
female,group D,associate's degree,standard,85,91,89,265,none,high
male,group B,high school,standard,60,44,47,151,completed,low
male,group C,some college,standard,98,86,90,274,completed,high
female,group C,some college,standard,58,67,72,197,none,medium
female,group D,master's degree,standard,87,100,100,287,none,high
